"college","public_profile_enabled","going","interested","start_term","cohort_year","created_by_csv","last_login","schools_followed","high_school","transfer_status","roommate_match_quiz","chat_messages_sent","chat_viewed","videos_liked","videos_viewed","videos_viewed_unique","total_official_videos","engaged","final_funnel_stage"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1549,2,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college2",FALSE,"undecided",TRUE,"fall",2019,FALSE,1482,1,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1403,3,"other",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1403,3,"other",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,694,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,1402,2,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,1402,2,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,1214,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college3",FALSE,"undecided",TRUE,"fall",2019,FALSE,1036,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1402,2,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1402,1,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college3",FALSE,"undecided",TRUE,"fall",2019,FALSE,1401,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college5",TRUE,"undecided",TRUE,"fall",2019,FALSE,425,1,"unknown",FALSE,FALSE,0,0,0,0,0,180,FALSE,"Inquired"
"college3",FALSE,"undecided",TRUE,"fall",2019,FALSE,1396,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college7",TRUE,"undecided",TRUE,"fall",2019,FALSE,1389,1,"unknown",FALSE,FALSE,0,0,0,0,0,637,FALSE,"Inquired"
"college6",TRUE,"undecided",TRUE,"fall",2019,FALSE,1382,2,"unknown",TRUE,FALSE,0,0,0,0,0,378,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1374,1,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1338,1,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college6",TRUE,"undecided",TRUE,"fall",2019,TRUE,1345,1,"unknown",TRUE,FALSE,0,0,0,0,0,378,FALSE,"Inquired"
"college7",TRUE,"undecided",TRUE,"fall",2019,FALSE,1344,1,"unknown",FALSE,FALSE,0,0,0,0,0,637,FALSE,"Inquired"
"college3",TRUE,"undecided",FALSE,"fall",2019,FALSE,702,1,"unknown",FALSE,FALSE,0,0,0,1,1,23,TRUE,"Inquired"
"college8",TRUE,"undecided",TRUE,"fall",2019,FALSE,1333,1,"unknown",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1333,1,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1331,1,"other",FALSE,FALSE,0,0,0,0,0,56,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1333,2,"other",FALSE,FALSE,0,0,0,0,0,56,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1333,1,"other",FALSE,FALSE,0,0,0,0,0,56,FALSE,"Inquired"
"college8",FALSE,"undecided",TRUE,"fall",2019,FALSE,1221,2,"unknown",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Inquired"
"college1",FALSE,"undecided",TRUE,"fall",2019,FALSE,1221,2,"unknown",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Inquired"
"college8",FALSE,"undecided",TRUE,"fall",2019,FALSE,1313,2,"other",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Inquired"
"college4",FALSE,"undecided",TRUE,"fall",2019,FALSE,1313,2,"other",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1332,1,"unknown",FALSE,FALSE,0,0,0,0,0,56,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,612,1,"unknown",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college8",TRUE,"undecided",TRUE,"fall",2019,FALSE,1332,1,"unknown",FALSE,FALSE,0,0,0,0,0,0,FALSE,"Applied"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1312,1,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1280,2,"other",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,1267,1,"other",FALSE,FALSE,0,0,0,0,0,23,FALSE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1261,2,"hs1",FALSE,FALSE,0,0,0,0,0,378,FALSE,"Inquired"
"college2",FALSE,"undecided",TRUE,"fall",2019,FALSE,1241,2,"other",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college4",FALSE,"undecided",TRUE,"fall",2019,FALSE,1241,2,"other",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1228,1,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1227,2,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1222,1,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college6",FALSE,"undecided",TRUE,"fall",2019,FALSE,300,2,"other",FALSE,FALSE,0,0,0,1,1,378,TRUE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,314,1,"other",FALSE,FALSE,0,0,0,0,0,56,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1210,5,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college3",TRUE,"undecided",TRUE,"fall",2019,FALSE,1210,5,"unknown",FALSE,FALSE,0,0,0,0,0,127,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1209,2,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college5",TRUE,"undecided",TRUE,"fall",2019,FALSE,1209,2,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1197,2,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college1",TRUE,"undecided",TRUE,"fall",2019,FALSE,1194,6,"other",FALSE,FALSE,0,0,0,0,0,127,TRUE,"Inquired"
"college4",TRUE,"undecided",TRUE,"fall",2019,FALSE,1194,6,"other",FALSE,FALSE,0,0,0,0,0,127,TRUE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,738,3,"other",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1172,1,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Accepted"
"college2",TRUE,"undecided",TRUE,"fall",2019,FALSE,1185,2,"unknown",FALSE,FALSE,0,0,0,0,0,42,FALSE,"Inquired"
